reading,pitch,roll,yaw (compass),cardinal direction,accel x,accel y,accel z,gyro x,gyro y,gyro z,mag x, mag y, mag z
293,85.14585,-11.30254,253.2827,W,2.066196,6.512228,6.327875,1.570664,0.03210874,-0.5473142,-36.02491,-10.81984,92.72334
294,81.05009,-11.30784,252.2398,W,1.731008,6.751649,3.497929,2.250676,-0.4695071,-0.7771382,-37.40766,-11.98158,95.87132
295,78.64537,-16.87645,251.4673,W,2.978387,8.585608,2.552219,2.842623,-0.3174902,-0.8925165,-38.51386,-12.91098,98.38971
296,76.06515,-7.684095,253.3307,W,1.352724,8.319851,-0.7230489,3.263634,0.5341243,-1.234388,-39.66771,-11.87774,94.03594
297,73.82665,6.20592,254.7699,W,-0.6895301,7.836222,-3.04303,3.223798,0.5928793,-1.084769,-40.59079,-11.05116,90.55292
298,69.9473,8.525547,258.4629,W,-1.098939,6.926425,-5.650316,3.060856,-0.00506279,-0.5664995,-40.18646,-8.203118,79.40787
299,54.98166,6.304424,263.0805,W,-0.7852982,4.5418,-8.202535,3.078442,-0.03397398,-0.3817077,-37.74548,-4.580734,65.21793
300,25.74334,5.425725,268.3839,W,-0.7254431,2.880225,-10.21845,2.774409,-0.2645974,-0.08833235,-33.00294,-0.9311242,50.58222
301,-9.886475,7.966417,273.8947,W,-1.283292,0.8212111,-11.32218,2.401761,-0.1337642,0.05196021,-29.20891,1.988563,38.87366
302,-15.26919,8.400085,280.378,W,-1.357512,-0.6081272,-11.22881,2.423744,-0.003597245,-0.04116848,-24.35867,4.460986,28.90976
303,-35.62949,7.286973,288.7837,W,-1.156399,-2.145205,-11.24078,2.089067,0.09805823,-0.03503983,-18.7979,6.393368,21.33667
304,-55.28581,5.058974,298.9552,NW,-0.7469909,-3.232172,-11.62624,1.460348,0.0544916,0.008660034,-14.34929,7.939273,15.2782
305,-71.21555,4.887233,313.6321,NW,-0.7230489,-4.280833,-11.50653,0.7560876,-0.01638745,-0.2717918,-8.908152,8.492632,13.21764
306,-76.4608,7.741086,332.9874,NW,-1.338359,-4.726154,-11.32457,0.1971823,-0.1033875,-0.1432236,-4.555245,8.935318,11.56919
307,-77.11613,8.103565,354.6073,N,-1.472434,-4.88896,-11.77708,-0.1934518,-0.1606769,-0.09326191,-0.9048626,9.585592,10.74796
308,-68.40876,7.429104,11.27875,N,-1.367089,-4.230555,-12.50491,-0.7883296,-0.004796327,0.2343538,2.015444,10.10581,10.09098
309,-67.64939,6.91981,21.19002,N,-1.309628,-4.280833,-13.16811,-1.866304,0.2837827,0.2864473,3.981962,10.27142,8.470817
310,-22.69315,6.928288,17.2681,N,-1.158794,-1.412579,-12.15057,-3.545151,0.2346203,0.140559,3.404044,10.9506,5.184531
311,-13.3111,6.510797,14.35588,N,-0.9337386,0.04548983,-10.68532,-3.953106,0.1887887,0.2987046,2.941709,11.49394,2.555503
312,15.25735,3.085214,355.7405,N,-0.2585738,2.236184,-9.174581,-4.049565,0.04636449,0.1064518,-0.8901394,11.95139,1.34785
313,59.49096,9.725597,342.196,N,-1.16837,4.635174,-6.641516,-4.110053,0.09219605,0.1341639,-3.955618,12.31736,0.3817272
314,68.29894,7.444616,321.2639,NW,-0.830788,5.999869,-5.29358,-3.988013,-0.08020524,0.6199253,-9.567478,11.92676,3.191101
315,73.26002,3.699433,309.5645,NW,-0.2920926,7.065289,-2.96881,-3.888622,-0.2499419,0.8910509,-14.05697,11.61428,5.4386
316,75.86545,-6.315768,296.1461,NW,0.9959879,7.204153,-0.7230489,-3.780038,-0.1055192,1.09676,-19.5308,9.587553,15.79425
317,79.99243,-6.029753,288.4268,W,0.9768343,6.849811,2.72939,-3.705829,-0.08353602,0.8063158,-23.90987,7.966168,24.07877
318,83.66103,-9.25399,278.7351,W,1.539472,6.373365,4.987122,-3.180631,-0.3539955,0.5971427,-27.24506,4.186165,40.55764
319,87.28442,-12.37964,272.2249,W,2.336741,6.172252,7.149086,-2.204978,-0.2602007,0.347334,-29.91322,1.162163,53.74074
320,92.78215,-12.79225,264.9905,W,2.796427,5.691018,9.370906,-0.8476175,0.01878561,0.08633388,-30.97218,-2.714886,70.25767
321,88.49139,-14.23948,258.9104,W,2.851494,6.177041,7.999028,0.4693738,-0.2547382,-0.1877229,-31.65128,-6.203765,84.16778
322,87.06628,-15.37065,254.3901,W,2.964022,6.351817,7.414843,0.9219606,0.005329252,-0.4675086,-32.19457,-8.994869,95.29586
323,84.48701,-14.16344,251.7571,W,2.722207,6.991069,6.720524,1.932387,0.1510843,-0.489625,-33.23421,-10.95441,102.4072
